,0,1,2,3
114,#ipo,55587.84326171875,350,55
115,#bitcoinnews,13388.1494140625,1761,396
116,#cryptotwitter,13388.1494140625,604,1034
117,#elonmusk,13388.1494140625,8643,1752
118,#algorand,13388.1494140625,922,276
119,#cryptocurrencynews,13388.1494140625,2208,677
120,#cryptonews,13388.1494140625,11044,9917
121,#nftdrop,1721.6964721679688,1581,1923
122,#data,1721.6964721679688,496,599
123,#payments,1721.6964721679688,175,151
124,#altseason2021,14730.23681640625,3309,1183
125,#algo,14730.23681640625,2280,1867
126,#silver,14730.23681640625,2642,1551
127,#stocks,14730.23681640625,2131,802
128,#investment,14730.23681640625,1840,1169
129,#dollar,14730.23681640625,1695,385
130,#usd,14730.23681640625,2048,786
131,#matic,10525.659423828125,261,1947
132,#1inch,10525.659423828125,1719,2224
133,#enj,10525.659423828125,437,565
134,#3,3158.5712280273438,281,868
135,#investing,3158.5712280273438,2049,3170
136,#2,3158.5712280273438,1465,5931
137,#rt,3168.299285888672,859,627
138,#invest,3168.299285888672,596,226
139,#amc,3168.299285888672,191,2053
140,#gme,3168.299285888672,296,293
141,#markets,3168.299285888672,605,1510
142,#news,3168.299285888672,750,656
143,#usdc,2332.450439453125,1517,891
144,#borsa,8088.806976318359,3045,2651
145,#xu100,8088.806976318359,758,703
146,#bist100,8088.806976318359,2630,2848
147,#btcusdt,8088.806976318359,1146,525
148,#usdtry,8088.806976318359,956,2559
149,#xauusd,8088.806976318359,1147,1526
150,#long,856.5780944824219,451,47
151,#buy,856.5780944824219,587,740
152,#moonshot,3178.3477478027344,3072,1087
153,#shib,3178.3477478027344,1704,1471
154,#poodl,3178.3477478027344,581,74
155,#charity,3178.3477478027344,908,166
156,#community,3178.3477478027344,946,609
157,#memes,3178.3477478027344,782,1397
158,#kucoin,6598.284912109375,2465,21605
159,#verge,6598.284912109375,1776,1232
160,#xmr,1281.1033782958984,592,1819
161,#safemars,654.3649673461914,614,6445
162,#nftcollectibles,3777.5369262695312,2324,1468
163,#finance,1259.1882858276367,554,1019
164,#economy,1259.1882858276367,895,160
165,#airdrops,37180.657470703125,27882,61145
166,#giveaways,37180.657470703125,7076,7226
167,#telegram,1340.3565521240234,1055,519
168,#fil,1340.3565521240234,259,182
169,#venezuela,6649.092346191406,676,983
170,#nasa,6649.092346191406,813,242
171,#amazon,6649.092346191406,477,352
172,#argentina,6649.092346191406,681,506
173,#biden,6649.092346191406,824,4505
174,#india,6649.092346191406,476,635
175,#bounty,17960.579528808594,13471,23331
176,#uniswap,3925.277587890625,3387,1913
177,#dapp,3925.277587890625,1405,1323
178,#blockchaintechnology,3925.277587890625,291,252
179,#gaming,3925.277587890625,1399,524
180,#moon,3925.277587890625,781,885
181,#solana,2055.2301177978516,1009,1040
182,#enjin,2055.2301177978516,141,29
183,#aave,2055.2301177978516,1014,283
184,#sol,2055.2301177978516,898,1185
185,#cbdc,437.7425727844238,293,400
186,#cmc,1129.7134399414062,1053,1333
187,#coingecko,1129.7134399414062,268,2281
188,#contest,2410.2984924316406,1446,1222
189,#safebtc,2410.2984924316406,1390,5350
190,#cloud,2410.2984924316406,210,325
191,#cryptocurrenices,2410.2984924316406,1261,157
192,#doge420,2410.2984924316406,160,34754
193,#bullish,2410.2984924316406,339,950
194,#business,2410.2984924316406,296,561
195,#google,3561.765625,904,179
196,#hodlers,3561.765625,1157,186
197,#cripto,3561.765625,1704,615
198,#altcoinseason,3561.765625,517,144
199,#fiat,3561.765625,270,187
200,#europe,2533.4059829711914,160,142
201,#banks,2533.4059829711914,160,230
202,#gdp,2533.4059829711914,283,227
203,#nftcommunity,8054.04150390625,5910,5781
204,#nftart,8054.04150390625,6436,5895
205,#cryptoart,8054.04150390625,6937,5417
206,#rarible,8054.04150390625,679,1153
207,#nftcollectors,8054.04150390625,6747,4149
208,#nftartist,8054.04150390625,5780,3787
209,#robinhood,2201.1683807373047,1377,444
210,#erc20,956.8018836975098,387,145
211,#euro,2576.3882904052734,1719,1005
212,#arpa,2576.3882904052734,693,125
213,#meme,433.04784393310547,344,651
214,#gamestop,117.71287107467651,67,129
215,#family,1398.1121978759766,317,64
216,#soccer,6579.3203125,214,358
217,#live,6579.3203125,201,320
218,#football,6579.3203125,1706,380
219,#mars,651.1386260986328,263,439
220,#holochain,4364.974914550781,1760,681
221,#holofuel,4364.974914550781,586,69
222,#satoshinakamoto,4364.974914550781,325,69
223,#xrpthestandard,4364.974914550781,1953,3771
224,#huobi,7315.793212890625,3316,5962
225,#smartcontracts,1797.3767547607422,533,500
226,#blockchains,1797.3767547607422,230,208
227,#hodler,1797.3767547607422,1037,9590
228,#dlt,1797.3767547607422,370,715
229,#iot,1797.3767547607422,557,643
230,#dex,10407.775756835938,485,938
231,#technology,10407.775756835938,568,1025
232,#mkr,10407.775756835938,208,590
233,#ai,10407.775756835938,1948,2395
234,#socialmedia,10407.775756835938,293,359
235,#trending,10407.775756835938,1432,325
236,#newprofilepic,10407.775756835938,582,6251
237,#nftartists,10407.775756835938,2693,618
238,#waves,10407.775756835938,204,632
239,#fintech,10407.775756835938,1355,1851
240,#marketing,10407.775756835938,255,314
241,#tech,10407.775756835938,511,648
242,#datascience,10407.775756835938,259,366
243,#digital,10407.775756835938,772,587
244,#innovation,10407.775756835938,127,348
245,#streaming,10407.775756835938,239,35
246,#breaking,10407.775756835938,3151,796
247,#bullrun,10407.775756835938,929,198
248,#israel,363.6237602233887,358,122
249,#robotics,753.1386184692383,241,416
250,#afghanistan,753.1386184692383,182,36
251,#price,665.2452621459961,359,176
252,#elongate,665.2452621459961,539,1391
253,#coronavirus,9140.60610961914,3601,601
254,#faiz,9140.60610961914,1835,802
255,#digitalasset,150.29293251037598,100,14
256,#music,12574.875915527344,230,136
257,#digitalcurrency,12574.875915527344,115,705
258,#hongkong,12574.875915527344,777,218
259,#eu,12574.875915527344,257,96
260,#syria,12574.875915527344,205,136
261,#canada,12574.875915527344,413,203
262,#cybersecurity,4397.082229614258,756,272
263,#python,4397.082229614258,595,390
264,#linux,4397.082229614258,777,266
265,#javascript,4397.082229614258,284,479
266,#100daysofcode,4397.082229614258,409,516
267,#artificialintelligence,4397.082229614258,1409,557
268,#programming,4397.082229614258,357,443
269,#machinelearning,4397.082229614258,421,660
270,#future,4397.082229614258,389,129
271,#bigdata,4397.082229614258,301,323
272,#sc,1436.7624282836914,881,138
273,#dogetoadollar,142.684965133667,96,238
274,#reef,2129.524871826172,758,632
275,#rsr,2129.524871826172,622,493
276,#ctbot,1846.947120666504,702,1049
277,#bat,1846.947120666504,673,217
278,#lrc,1846.947120666504,938,300
279,#wrx,1846.947120666504,763,90
280,#staking,6744.844543457031,1115,1634
281,#ido,6744.844543457031,3319,1865
282,#shibaswap,645.8302764892578,642,584
283,#mxc,645.8302764892578,618,318
284,#ethereumclassic,1285.8497161865234,1138,591
285,#tel,772.7327461242676,435,378
286,#zilliqa,3369.715774536133,1988,426
287,#bitcoinsv,3369.715774536133,391,229
288,#pundix,3369.715774536133,763,243
289,#inflation,1232.3266906738281,974,1418
290,#uk,1232.3266906738281,146,245
291,#filecoin,357.79961013793945,202,29
292,#hotbit,1118.0724411010742,808,331
293,#cryptoartist,1552.2302551269531,1022,1019
294,#cryptoartists,1552.2302551269531,270,233
295,#opensea,1552.2302551269531,535,842
296,#art,1552.2302551269531,775,676
297,#nftshill,1552.2302551269531,760,654
298,#cryptogiveaway,3366.7725372314453,706,276
299,#uae,10687.80029296875,168,120
300,#ramadan,10687.80029296875,319,197
301,#iran,10687.80029296875,443,137
302,#vaccine,10687.80029296875,1563,189
303,#sma,3855.9635620117188,281,132
304,#ecommerce,477.83167266845703,161,260
305,#space,346.3295669555664,153,5955
306,#yieldfarming,1038.3048706054688,388,450
307,#hayırlıcumalar,10296.700378417969,2013,979
308,#livestream,792.3712005615234,371,247
309,#spacex,1309.570671081543,901,6099
310,#tsla,254.25742435455322,94,119
311,#nasdaq,1273.9208755493164,359,444
312,#hold,734.5091438293457,414,440
313,#ml,1254.3465881347656,291,269
314,#health,1254.3465881347656,233,141
315,#startups,1254.3465881347656,125,10085
316,#krypto,709.2178268432617,359,375
317,#berlin,709.2178268432617,263,37
318,#criptomoneda,387.6633949279785,259,318
319,#tokens,1100.1765365600586,393,516
320,#mastercard,6128.8292236328125,762,288
321,#coins,6128.8292236328125,95,207
322,#analytics,6128.8292236328125,209,126
323,#brand,6128.8292236328125,107,37
324,#cryptoexchange,6128.8292236328125,63,32
325,#startup,6128.8292236328125,294,195
326,#cloudcomputing,6128.8292236328125,232,228
327,#superleague,3532.8118591308594,2880,1482
328,#instagram,3532.8118591308594,467,3784
329,#bitcoins,659.1880798339844,130,726
330,#womenwhocode,402.15840911865234,99,221
331,#shibainu,1974.8560638427734,311,608
332,#ftm,904.9281539916992,369,117
